site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
S2,F,7,MIN,NA,0.668,100.2,4.46,3.84,4.21,0.12,8.23,13.05,1.33,0,0.28,0.44,1.83,0.03,0.02,0.16,0.35,0.59
S2,F,8,MIN,NA,0.857,128.58,4.55,4.13,3.21,0.05,5.95,6.38,1.07,0.15,1.43,-0.15,0.77,0.03,0,0.08,0.33,0.58
S2,F,9,MIN,NA,0.793,118.97,3.84,3.86,3.42,0.05,9.56,12.17,2,0.11,-0.31,0.12,1.75,0.05,0.01,0.13,0.35,0.77
S2,F,10,MIN,NA,0.758,113.77,4.24,3.68,4.5,0.01,9.38,7.07,1.17,0,0.65,0.73,1.84,0.05,0.03,0.16,0.53,0.81
W1,B,2,FF,75,0.048,3.57,3.82,3.01,44.83,1.64,88.73,179.38,31.72,0.29,209.13,-0.29,7.22,1.67,0.6,1.45,1.05,1.87
W1,B,3,FF,40.8,0.068,2.75,3.44,2.94,45.33,1.84,88.73,102.32,27.24,0.05,69.25,-0.05,8.59,1.01,0.76,1.85,1.36,1.19
W1,B,4,FF,17.8,0.107,1.9,4.21,3.15,38.02,1.57,66.64,166.96,77.51,0.29,-35.38,1.36,8.08,1.15,0.86,1.98,0.69,2.1
W1,B,5,FF,62.8,0.044,2.77,3.63,2.84,49.4,1.87,94.9,144.2,13.27,0,226.16,0,10.45,1.3,0.77,1.48,1.04,2.08
W1,B,6,FF,58,0.049,2.81,3.1,2.67,47.43,1.79,92.28,148.87,16.82,0.03,151.72,-0.03,9.3,0.52,0.6,1.26,1.02,3.11
W1,B,7,FF,75.5,0.075,5.69,2.98,2.58,47.85,1.71,90.85,102.7,4.67,0,98.95,44.4,9.45,0.82,0.77,1.19,1.55,2.68
W1,B,8,FF,123.5,0.033,4.13,3.73,2.61,46.87,1.65,89.92,115.61,13.28,0,80.52,0,11.93,0.94,0.83,0.76,2.09,2.51
W1,B,9,FF,99.5,0.066,6.57,3.7,2.68,48.44,1.77,96.8,173.2,16.5,0.57,103.67,0.02,10.79,0.91,0.8,1.59,1.68,3.15
W1,B,10,FF,96.8,0.042,4.04,3.86,2.62,48.89,1.71,95.46,185.64,17.98,0,105.49,0.69,8.92,0.85,0.69,0.8,1.72,3.23
W1,C,3,FF,45,NA,NA,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14,0.21,0.67,1.39,0.99,0.8
W1,C,5,FF,63,NA,NA,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,1.25,0.65,1.29,1.4,2.02
W1,C,7,FF,55.5,NA,NA,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84,0.99,0.54,1.35,1.85,2.87
W1,C,9,FF,95.3,NA,NA,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,0.89,0.55,0.88,2.29,3.44
W1,D,2,FF,24,0.187,4.49,4.33,3.13,33.21,1.24,72.22,122.75,31.85,0,141.03,1.1,6.94,1.22,0.52,0.53,1.28,2.39
W1,D,3,FF,31.8,0.059,1.87,3.26,2.92,45.52,1.79,87.08,171.81,24.45,0,430.62,1.8,8.54,1.25,0.61,0.18,0.96,1.49
W1,D,4,FF,61,0.046,2.83,3.87,2.79,45.31,1.58,90.98,174.62,17.89,0,118.7,0.5,9.48,1.29,0.54,0.87,1.17,2.64
W1,D,5,FF,56.5,0.051,2.91,3.72,2.33,46.45,1.9,87.39,102.08,72.68,0,131.55,0,7.53,0.93,0.65,0.78,1.35,1.49
W1,D,6,FF,49.3,0.054,2.65,3.93,2.68,46.44,1.74,89.87,127.31,15.57,0.36,159.92,-0.36,7.13,1.92,0.64,1.17,1.24,2.5
W1,D,7,FF,69.5,0.082,5.68,3.12,2.58,48.29,1.79,95.16,133.92,30.17,0,166.5,0,8.75,1.01,0.63,1.33,1.78,2.87
W1,D,8,FF,31.5,0.197,6.19,3.83,2.78,48.3,1.87,95.56,173.38,11.65,0,110.06,4.56,7.26,1.14,0.32,1.3,1.58,1.64
W1,D,9,FF,72.5,0.062,4.46,3.16,2.59,47.37,1.73,93.58,120.64,31.06,0,150.31,2.98,9.27,1.08,0.45,0.94,1.72,1.27
W1,D,10,FF,66.5,0.071,4.74,3.76,2.72,48.34,1.83,94.42,151.83,12.35,0,81.66,0.51,8.21,1.11,0.42,1.42,1.68,2.38
W1,E,3,FF,62.5,NA,NA,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,0.98,0.46,0.96,1.05,2.69
W1,E,5,FF,73,NA,NA,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.15,0.87,0.39,1.39,2.31,2.1
W1,E,7,FF,81.3,NA,NA,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58,1.55,0.69,1.35,2.03,3.43
W1,E,9,FF,65,NA,NA,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,0.44,0.11,0.6,2.29,2.71
W1,F,2,FF,37.5,0.045,1.69,4.1,3.03,45.84,1.56,76.59,164.33,12.18,3.56,242.21,-2.91,6.69,1.43,0.74,1.09,1.23,3.29
W1,F,3,FF,45.8,0.051,2.35,3.76,3.15,27.23,0.97,52.58,40.45,66.31,1.43,313.5,-1.43,6.01,1.89,0.45,0.17,1.02,1.79
W1,F,4,FF,58.8,0.089,5.25,3.58,2.72,48.28,1.96,95.16,135.05,18.07,0,143.82,3.88,7.21,0.75,0.59,0.78,1.68,3.12
W1,F,5,FF,72.8,0.067,4.84,3.75,2.73,48.59,1.89,95.13,110.48,18.36,0,77.56,0,7.79,1.6,1.13,0.77,2.19,3.72
W1,F,6,FF,152.5,0.023,3.46,3.91,2.75,NA,NA,94.91,119.37,10.2,3.12,77.76,-3.12,7.61,0.76,0.32,0.72,2.05,5.1
W1,F,7,FF,106,0.033,3.46,3.45,2.6,48.27,1.86,94.57,91.4,11.49,0.21,77.74,-0.21,7.13,0.2,0.09,0.41,1.88,3.2
W1,F,8,FF,87,0.022,1.93,4.38,3.41,44.56,1.74,93.55,120.87,15.41,0,59.78,0,7.84,0.14,0.1,0.81,2.65,3.04
W1,F,9,FF,109.3,0.027,2.93,4.55,3.34,45.31,1.91,92.11,142.31,9.48,0,61.13,0,8.44,1.26,0.93,1.66,2.37,3.51
W1,F,10,FF,103.5,0.043,4.46,4.44,3.47,44.9,1.97,92.44,79.35,15.88,1.19,97.18,3.05,10.02,0.21,0.19,0.47,2.38,2.95
W1,B,2,MIN,NA,0.469,70.34,4.05,3.28,9.29,0.27,17.94,3.69,2.87,0.02,5.07,-0.02,1.99,0.07,0.02,0.21,0.36,0.56
W1,B,3,MIN,NA,0.683,102.44,4.3,4.01,4.4,0.13,10.41,15.83,0.45,0,8.91,0.06,1.72,0.06,0.02,0.16,0.48,0.61
W1,B,4,MIN,NA,0.672,100.85,4.31,3.94,3.84,0.14,10.3,2.14,1.22,0.15,16.82,-0.06,1.11,0.05,0.01,0.12,0.38,0.5
W1,B,5,MIN,NA,0.506,75.84,4.14,3.84,5.68,0.12,11.87,1.27,2.11,0.15,16.88,0.61,1.76,0.07,0.01,0.09,0.36,0.58
W1,B,6,MIN,NA,0.615,92.32,4.08,3.85,4.77,0.09,7.45,0.19,0.67,0,4.78,0,1.49,0.06,0.01,0.08,0.42,0.85
W1,B,7,MIN,NA,0.545,81.72,4.02,3.76,7.23,0.22,11.51,6.6,0.89,0,5.69,0.2,1.66,0.08,0.01,0.08,0.5,0.69
W1,B,8,MIN,NA,0.371,55.66,3.68,3.24,10.65,0.29,19.44,10.87,0.35,0,4.25,0,1.45,0.05,0.02,0.09,0.72,0.76
W1,B,9,MIN,NA,0.586,87.85,3.9,3.32,12.57,0.45,12.23,9.17,2.88,0,4.78,0.05,2.02,0.06,0.01,0.13,0.84,0.85
