site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
W2,C,7,MIN,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,0.02,0.01,0.08,0.59,0.9
W2,C,9,MIN,NA,NA,NA,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87,0.04,0.04,0.21,0.63,1.11
W2,D,2,MIN,NA,0.368,55.15,4.1,3.58,8.98,0.26,30.38,3.57,0,0.22,16.3,2.66,3.65,0.02,0.01,0.14,1.01,1.15
W2,D,3,MIN,NA,0.53,79.55,3.71,3.5,5,0.16,15.22,4.13,1.27,0.4,31.81,2.67,4.97,0.09,0.02,0.34,0.78,0.69
W2,D,4,MIN,NA,0.703,105.47,3.92,3.16,7.44,0.47,10.83,0,1.52,0.5,21.01,2.4,1.65,0.03,0.02,0.09,0.66,0.82
W2,D,5,MIN,NA,0.622,93.35,4.01,3.77,4.74,0.14,8.81,0,1.57,0.95,15.62,3.37,2.03,0.08,0.02,0.12,0.47,0.62
W2,D,6,MIN,NA,0.382,57.23,4.08,3.51,10.64,0.31,13.04,5.43,2.32,0.44,30.11,2.25,1.92,0,0.02,0.14,0.45,0.67
W2,D,7,MIN,NA,0.573,85.93,4.27,3.81,15.96,0.31,15.28,0,4.57,0.41,18.77,3.73,1.35,0,0.01,0.09,0.54,0.77
W2,D,8,MIN,NA,0.644,96.57,3.82,3.28,6.29,0.23,11.66,0.5,3.47,0.5,19.88,2.1,1.38,0,0.01,0.13,0.56,1.02
W2,D,9,MIN,NA,0.519,77.85,4.21,3.84,10.29,0.42,15.63,1.89,16.53,12.8,22.97,-12.8,1.67,0,0.01,0.1,0.69,0.8
W2,D,10,MIN,NA,0.614,92.13,3.83,3.4,4.98,0.16,12.43,0,9.19,0.73,24.36,29.31,1.43,0.01,0.02,0.09,0.67,0.71
W2,E,3,MIN,NA,NA,NA,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0,0.01,0.15,0.8,0.99
W2,E,5,MIN,NA,NA,NA,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0,0,0.09,0.51,0.87
W2,E,7,MIN,NA,NA,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,0,0,0.11,0.58,0.79
W2,E,9,MIN,NA,NA,NA,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13,0.07,0.07,0.34,0.49,0.76
W2,F,2,MIN,NA,0.514,77.08,4.29,3.37,7.94,0.23,13.87,0.41,1.22,0.02,-1.24,-0.02,2.54,0.02,0.03,0.13,0.68,1.02
W2,F,3,MIN,NA,0.541,81.21,4.04,3.24,13.38,0.52,11.71,2.04,17.05,0.93,-17.98,-0.93,4.35,0.1,0.06,0.11,0.7,1.17
W2,F,4,MIN,NA,0.239,35.78,3.67,2.81,13.78,0.32,11.52,32.07,40.53,2.54,-43.07,-2.54,2.52,0,0.01,0.1,0.76,0.69
W2,F,5,MIN,NA,0.416,62.41,3.75,3.4,9.98,0.33,14.73,21.61,1.64,0.65,-2.29,-0.65,3.49,0.02,0.06,0.19,0.67,1.02
W2,F,6,MIN,NA,0.657,98.58,2.96,2.93,5.26,0.19,11.71,4.06,10.81,0.56,-11.37,-0.56,4.62,0.1,0.03,0.12,0.76,0.92
W2,F,7,MIN,NA,0.415,62.21,3.57,3.09,9.26,0.33,19.73,8.8,14.43,2.14,-16.57,-2.14,3.9,0.06,0.09,0.17,0.56,0.52
W2,F,8,MIN,NA,0.511,76.69,3.65,3.08,5.15,0.15,22.84,13.09,2.67,0,-2.67,0,2.45,0,0.01,0.09,0.51,0.71
W2,F,9,MIN,NA,0.655,98.25,4.31,3.73,4.64,0.15,18.5,12.83,2.13,0,-2.13,0,0.34,0,0.01,0.09,0.51,0.81
W2,F,10,MIN,NA,0.406,60.92,4.16,3.61,8.04,0.25,14.53,2.06,0.37,0,-0.37,0,3.45,0,0.07,0.39,0.52,1.54
